Home,Away,Date,Time,Court,Address
IN's MERCATO Arcella,DBA BASKET,03/10/2025,21:15,Palestra L. P. Barion,"Via L. Bressan, 3 - Loc.Arcella - PADOVA - (PADOVA)"
BATTAGLIA TERME BK,IN's MERCATO Arcella,10/10/2025,21:15,Palazzetto ' M. Grossi',"Via C. Orlando, 1 - BATTAGLIA TERME - (PADOVA)"
IN's MERCATO Arcella,SB PADOVA OVEST,17/10/2025,21:15,Palestra L. P. Barion,"Via L. Bressan, 3 - Loc.Arcella - PADOVA - (PADOVA)"
CASTAGNARA BASKET,IN's MERCATO Arcella,24/10/2025,21:10,Palestra 'Salboro',loc. SALBORO - Via Ponchia 1/a - PADOVA - (PADOVA)
IN's MERCATO Arcella,PRO PACE MORTISE,31/10/2025,21:15,Palestra L. P. Barion,"Via L. Bressan, 3 - Loc.Arcella - PADOVA - (PADOVA)"
PALL. NOVENTA - Padovana,IN's MERCATO Arcella,07/11/2025,21:15,Palestra Comunale,"Via XXV Aprile, 2 - NOVENTA PADOVANA - (PADOVA)"
SELVAZZANO BASKET,IN's MERCATO Arcella,12/11/2025,21:15,Palasport 'A. Ceron',"Via Euganea, 52 - SELVAZZANO DENTRO - (PADOVA)"
IN's MERCATO Arcella,PALL. REDENTORE ESTE,14/11/2025,21:15,Palestra L. P. Barion,"Via L. Bressan, 3 - Loc.Arcella - PADOVA - (PADOVA)"
MONSELICE BASKET,IN's MERCATO Arcella,21/11/2025,21:00,Palestra Comunale di Baone,Via Monte Gula - BAONE - (PADOVA)
IN's MERCATO Arcella,NUOVO BK ROVIGO,28/11/2025,21:15,Palestra L. P. Barion,"Via L. Bressan, 3 - Loc.Arcella - PADOVA - (PADOVA)"
PTP FROGS SACCOLONGO,IN's MERCATO Arcella,05/12/2025,21:15,(P.C.) Palestra Com. di Saccolongo,"Via Pio X ( ex San Leopoldo, 3) - SACCOLONGO - (PADOVA)"
PALL. PIOVESE,IN's MERCATO Arcella,05/12/2025,21:15,PALAJUNIOR Borgo Rossi,Via Bernardo Da Piove 16 - PIOVE DI SACCO - (PADOVA)
RHODIGIUM BASKET,IN's MERCATO Arcella,19/12/2025,20:20,PALAZZETTO DELLO SPORT,Via Bramante 16 - ROVIGO - (ROVIGO)
IN's MERCATO Arcella,BASKET CONSELVE,09/01/2026,21:15,Palestra L. P. Barion,"Via L. Bressan, 3 - Loc.Arcella - PADOVA - (PADOVA)"
ASD POL. PONTELONGO,IN's MERCATO Arcella,16/01/2026,21:00,PALESTRA COMUNALE PONTELONGO,Via Villa del Bosco - PONTELONGO - (PADOVA)
DBA BASKET,IN's MERCATO Arcella,22/01/2026,21:15,Palasport 'Don Bosco',Via Forcellini - PADOVA - (PADOVA)
IN's MERCATO Arcella,BATTAGLIA TERME BK,28/01/2026,21:30,Palestra L. P. Barion,"Via L. Bressan, 3 - Loc.Arcella - PADOVA - (PADOVA)"
SB PADOVA OVEST,IN's MERCATO Arcella,06/02/2026,20:00,Palestra Ist. 'Modigliani',"Via Bassi, 6 - PADOVA - (PADOVA)"
IN's MERCATO Arcella,CASTAGNARA BASKET,11/02/2026,21:30,Palestra L. P. Barion,"Via L. Bressan, 3 - Loc.Arcella - PADOVA - (PADOVA)"
PRO PACE MORTISE,IN's MERCATO Arcella,20/02/2026,21:15,Palazzetto 'S. Domenico Savio',"Via Cardan, 12 - Zona Mortise - PADOVA - (PADOVA)"
IN's MERCATO Arcella,PALL. NOVENTA - Padovana,25/02/2026,21:30,Palestra L. P. Barion,"Via L. Bressan, 3 - Loc.Arcella - PADOVA - (PADOVA)"
IN's MERCATO Arcella,SELVAZZANO BASKET,02/03/2026,21:15,Palestra L. P. Barion,"Via L. Bressan, 3 - Loc.Arcella - PADOVA - (PADOVA)"
PALL. REDENTORE ESTE,IN's MERCATO Arcella,05/03/2026,21:00,Palestra 'Patronato Redentore',"Via Fiume, 65 - ESTE - (PADOVA)"
IN's MERCATO Arcella,MONSELICE BASKET,11/03/2026,21:30,Palestra L. P. Barion,"Via L. Bressan, 3 - Loc.Arcella - PADOVA - (PADOVA)"
NUOVO BK ROVIGO,IN's MERCATO Arcella,20/03/2026,21:00,PALAZZETTO DELLO SPORT,Via Bramante 16 - ROVIGO - (ROVIGO)
IN's MERCATO Arcella,PTP FROGS SACCOLONGO,25/03/2026,21:30,Palestra L. P. Barion,"Via L. Bressan, 3 - Loc.Arcella - PADOVA - (PADOVA)"
PALL. PIOVESE,IN's MERCATO Arcella,03/04/2026,21:00,PALAJUNIOR Borgo Rossi,Via Bernardo Da Piove 16 - PIOVE DI SACCO - (PADOVA)
IN's MERCATO Arcella,RHODIGIUM BASKET,10/04/2026,21:15,Palestra L. P. Barion,"Via L. Bressan, 3 - Loc.Arcella - PADOVA - (PADOVA)"
BASKET CONSELVE,IN's MERCATO Arcella,17/04/2026,21:15,Pal.to dello Sport 'M.Morelli',"Via Traverso, 48 - CONSELVE - (PADOVA)"
IN's MERCATO Arcella,ASD POL. PONTELONGO,24/04/2026,21:15,Palestra L. P. Barion,"Via L. Bressan, 3 - Loc.Arcella - PADOVA - (PADOVA)"
